Defective User Story,Failing Score
"As a camp administrator, I want to be able to remove campers if they don't attend the camp anymore, so that I can keep the records organized.",0
"As a Researcher, I want to get a Data Package into SPSS in seconds, so that I can start using the data for doing analysis and visualizations. ",0
"As a research head, I want to access to the persistent identifiers of datasets provided in the DMP, so that I can check that the DMP has been implemented.",0
"As an Application Administrator, I want to be able to reset a User's password for them.",0
to support data migration integrity testing.,3
"As a user, I want to be able to access the site and do all the other stuffs on all of my electronic devices.",6
"As a user, I want backend changes for managing enum lists.",7
"As a user, I want frontend changes for managing enum lists.",8
"As a user, I want backend changes for bulk updating one enum value to another.",9
"As a camp administrator, I want to be able to warn a camp worker who I think did his/her job inappropriate.",9
"As a repoadmin, I want to have Symplectic Elements bidirectionally communicate and integrate with DDR, which  provide a Fedora Connector and Emory is using a hidden Fedora instance that Hydra collects objects for.",10
"As a collection curator, I want to have items be made available under the permissions they were configured once the embargo date has been reached.",10
"As a collection curator, I want to move items from one collection to another.",10
"As a repository manager, I want to elect to either replicate remotely or not and possibly to replicate beyond the primary remote site.",10
"As an Archivist, I want to import Resources from MARCXML records.",10
"As a team member, I want to understand how time off overlaps with plans around the user research.",10
"As a DigitalRecords Archivist, I want to have the repository to lift embargoes on the release date and set the access controls to the configuration set on item on that date.",10
"As a CMS SME, I want to see the webmaster workflow report, so that I can understand how this might impact current direction.",10
"As a DigitalRecords Archivist, I want to edit the length of embargoes.",10
"As a camp administrator, I want to be able to keep my information in one place, so that the admins next year can improve on the previous years.",10
"As a user, I want to add a video to my article.",10
"As a camp administrator, I want to store camper's immediate parent/guardian's information, so that I can easily call to notify them in case a grossly unacceptable behavior.",10
"As a user, I want backend changes to support loading enum value lists from the database.",10
"As an Authenticated User, I want to get access to links to contextual help.",10
"As a depositor, I want to have guarantees about data integrity, so that I can use my data in the future and I can fulfil funder requirements for archival.",10
"As a trainee, I want to see which trainings I have signed up for, so that they can schedule their event experience.",10
"As a collection curator, I want to have the item to be allowed under the access permissions set on the object after the embargo data is reached.",10
"As a company, I want to have a website that is easy to use, so that I can upload or delete stuff step by step.",10
"As a Zooniverse admin, I want to perform automatic animal number detection in Snapshot Serengeti.",10
"As a web recruiter manager, I want to confirm the recruiter is set up and working properly on Science360.gov.",10
"As a repoadmin, I want to have the license be recorded in metadata and displayed alongside the item.",10
"As an admin, I want to have all data encrypted, so that important information will not be stolen during a server breach or an attack.",10
"As a developer, I want to use a configuration that is not prepackaged within a built version of application.",10
"As a systems administrator, I want to be able to control the location of the demo database and I want it to be backed up.",10
"As an admin, I want to annotate news video segments and extract a topic for each segment.",10
"As a user, I want to have my personal information kept securely in the database of the website, so that I will not suffer from identity theft or telephone harassment.",10
"As an employee from the HR department, I want to have access to the full information of all employees working for this business.",10
"As an UnivITservice, I want to store archived data directly on the HCP object store, so that  features can be made.",10
"As a user, I want to have a great UI and UX from the sites, so that I have a pleasant experience when navigating through them.",10
"As a researcher, I want to know how many resources are needed during the project, so that I can calculate costs.",10
"As a user, I want to get info about perceptually similar video items and segments.",10
"As a fundingbody, I want to be reassured that researchers I fund have robust archival plans for their data, so that I can be sure that funding them is a worthwhile investment.",10
"As a stakeholder, I want to have a decision on whether or not the blog aggregator may work for beta, and if not what will.",10
"As a legalofficer, I want to know about data sensitivity, so that I can establish sharing options.",10
"As a developer, I want to determine if we can use the in-built Fedora 4 event audit services.",10
"As a team member, I want to understand what the MVP should look like, so that I can begin understanding workflow needs as they pertain to any CMS decision.",10
"As a camp administrator, I want to be able to make nametags faster, so that I don't have to spend two hours making 200+ nametags",10
"As an Archivist, I want to import EAD files that were exported by Archon.",10
"As an NSF employee, I want to know how brand guidelines are developed and maintained, so that I can incorporate them throughout the project.",10
"As an NSF employee, I want to have high-level strategy recommendations to implement in conjunction with the new CMS.",10
"As a trainee, I want to must accept the cancellation terms with a checkbox, so that they can be accountable..",10
"As a DigitalRecords Archivist, I want to grant embargo privileges to other repository administrators.",10
"As an Archivist, I want to export a description as EAD.",10
"As an archivist, I want to search within a repository for resource and accession and digital object records.",10
